Title,Type,Status,Priority,Sprint,Epic,Tasks,Timeline,Engineers,Description,Front / Back,Property,Sub-Epic,User Type & Page,expected date,front/back end?
templatize childworkflow's childAnyTransaction to work for all 3 transaction types,Task 🔨,In Progress,P1 🔥,,,,,aly,,Front End,,,,"December 21, 2021",
,Task 🔨,,,,,,,,,,,,,,
templatize childworkflow's childAnyBank to work for both user groups,Task 🔨,Complete 🙌,P1 🔥,,,,,ank,,Front End,,,,"December 20, 2021",
,Task 🔨,,,,,,,,,,,,,,
create enums for the user groups,Task 🔨,Complete 🙌,P1 🔥,,,,,ank,,Front End,,,,"December 20, 2021",
,Task 🔨,,,,,,,,,,,,,,
child login/signup high fidelity wireframes,Task 🔨,In Progress,P2,,,,,grace,,Front End,,,,"December 22, 2021",
User Testing w/ Trainers,,,,,,Untitled (https://www.notion.so/c4ddc9b71b2a484c83aabc08866bf01c?pvs=21),,,,,,,,,
create enums for the 3 transation types,Task 🔨,In Progress,P1 🔥,,,,,aly,,Front End,,,,"December 21, 2021",
,Task 🔨,,,,,,,,,,,,,,
CRUD Parent,,In Progress,,,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
firebase ID,Task 🔨,Complete 🙌,P1 🔥,,,,,caleb,,Back End,,,,"November 26, 2021",
fro,,,,,,,,,,,,,,,
finalize list of badges,Task 🔨,In Progress,P1 🔥,,child user flow  (SMK%20RoadMap/child%20user%20flow%20081e3eda4b168259b60381008dbf0de6.csv),,,grace,,Front End,,,,"February 2, 2022",
start building out design/style features of child workflow,Task 🔨,Not Started,P1 🔥,,,,,"caleb, nishant",,Front End,,,,"December 22, 2021",
Plan out models for the MongoDB database,Task 🔨,Complete 🙌,P1 🔥,,,,,"alex, nishant",,Back End,,,,"November 24, 2021",
"delete parent workflow's 3 ""Parent<bank type>Bank"" pages ",Task 🔨,Complete 🙌,P1 🔥,,,,,ank,,Front End,,,,"December 20, 2021",
create all blank pages for parent workflow & name it with a descriptive text box,Task 🔨,Complete 🙌,P1 🔥,,,,,ank,,Front End,,,,"November 24, 2021",
,Task 🔨,,,,,,,,,,,,,,
plan out endpoints,Task 🔨,Complete 🙌,P1 🔥,,,,,,,Back End,,,,"December 8, 2021",
,Task 🔨,,,,,,,,,,,,,,
file structure for backend,Task 🔨,Complete 🙌,P1 🔥,,,,,alex,,Back End,,,,"December 8, 2021",
front,,,,,,,,,,,,,,,
link together the parent pages using navigation algorithms,Task 🔨,Complete 🙌,P1 🔥,,,,,ank,,Front End,,,,"November 24, 2021",
Reorganize Front End,,,,,,,,,,,,,,,
add only the MAJOR button components for each page of the parent flow,Task 🔨,Complete 🙌,P1 🔥,,,,,ank,,Front End,,,,"November 24, 2021",
create all blank pages for child workflow & name it with a descriptive text box,Task 🔨,Complete 🙌,P1 🔥,,,,,aly,,Front End,,,,"November 24, 2021",
add only the MAJOR button components for each page of the child flow,Task 🔨,Complete 🙌,P1 🔥,,,,,aly,,Front End,,,,"November 24, 2021",
,Epic ⛰️,,,,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
link together the child pages using navigation algorithms,Task 🔨,Complete 🙌,P1 🔥,,,,,aly,,Front End,,,,"November 24, 2021",
,Task 🔨,,,,,,,,,,,,,,
"link together the login/signup pages ",Task 🔨,Complete 🙌,P1 🔥,,,,,caleb,,Front End,,,,"November 24, 2021",
,Task 🔨,,,,,,,,,,,,,,
add only the MAJOR button components for each page of the LOGIN/SIGNUP flow,Task 🔨,Complete 🙌,P1 🔥,Sprint 1,front end login flow (generic for both users) (SMK%20RoadMap/front%20end%20login%20flow%20(generic%20for%20both%20users)%206fae3eda4b1683f3920e018bc6e5014f.csv),,,caleb,,Front End,,,,"November 17, 2021",
,Task 🔨,,,,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
create all blank pages for login/signup workflow & name it with a descriptive text box,Task 🔨,Complete 🙌,P1 🔥,Sprint 1,"Untitled (https://www.notion.so/551a7f7e7e94405c98da0518a4e24ad0?pvs=21), front end login flow (generic for both users) (SMK%20RoadMap/front%20end%20login%20flow%20(generic%20for%20both%20users)%206fae3eda4b1683f3920e018bc6e5014f.csv)",,,caleb,,Front End,,,,"November 24, 2021",
Front End Feature,,,,,,,,,,,,,,,
Survivor Fitness Overview,,,,,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
,Task 🔨,,,,,,,,,,,,,,
