Title,Description,Engineers,Epic,Front / Back,Priority,Property,Sprint,Status,Sub-Epic,Tasks,Timeline,Type,User Type & Page,expected date,front/back end?
fro,,,,,,,,,,,,,,,
firebase ID,,caleb,,Back End,P1 🔥,,,Complete 🙌,,,,Task 🔨,,"November 26, 2021",
,,,,,,,,,,,,Task 🔨,,,
CRUD Parent,,,,,,,,In Progress,,,,,,,
,,,,,,,,,,,,Task 🔨,,,
create enums for the 3 transation types,,aly,,Front End,P1 🔥,,,In Progress,,,,Task 🔨,,"December 21, 2021",
User Testing w/ Trainers,,,,,,,,,,Untitled (https://www.notion.so/c4ddc9b71b2a484c83aabc08866bf01c?pvs=21),,,,,
child login/signup high fidelity wireframes,,grace,,Front End,P2,,,In Progress,,,,Task 🔨,,"December 22, 2021",
,,,,,,,,,,,,Task 🔨,,,
create enums for the user groups,,ank,,Front End,P1 🔥,,,Complete 🙌,,,,Task 🔨,,"December 20, 2021",
,,,,,,,,,,,,Task 🔨,,,
templatize childworkflow's childAnyBank to work for both user groups,,ank,,Front End,P1 🔥,,,Complete 🙌,,,,Task 🔨,,"December 20, 2021",
,,,,,,,,,,,,Task 🔨,,,
templatize childworkflow's childAnyTransaction to work for all 3 transaction types,,aly,,Front End,P1 🔥,,,In Progress,,,,Task 🔨,,"December 21, 2021",
,,,,,,,,,,,,Task 🔨,,,
finish restructuring of parent workflow's src files,,,,,,,Sprint 3,,,,,,,,
,,,,,,,,,,,,Task 🔨,,,
link child front end to backend,,,,,,,Sprint 2,,,,,,,,
link parent workflow to backend,,,,,,,Sprint 3,,,,,,,,
update parent workflow's styles/component to match wireframes,,,,,,,Sprint 3,,,,,,,,
bring child workflow's styles up to speed with wireframe designs,,,,,,,Sprint 2,,,,,,,,
